year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,4
2020,cancers,20,female,total,29
2020,cancers,25,female,total,108
2020,cancers,30,female,total,201
2020,cancers,35,female,total,289
2020,cancers,40,female,total,358
2020,cancers,45,female,total,425
2020,cancers,50,female,total,411
2020,cancers,55,female,total,425
2020,cancers,60,female,total,359
2020,cancers,65,female,total,240
2020,cancers,70,female,total,179
2020,cancers,75,female,total,101
2020,cancers,80,female,total,49
2020,cancers,85,female,total,17
