year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,4
2020,cancers,20,female,total,7
2020,cancers,25,female,total,14
2020,cancers,30,female,total,24
2020,cancers,35,female,total,35
2020,cancers,40,female,total,47
2020,cancers,45,female,total,62
2020,cancers,50,female,total,75
2020,cancers,55,female,total,85
2020,cancers,60,female,total,81
2020,cancers,65,female,total,61
2020,cancers,70,female,total,40
2020,cancers,75,female,total,20
2020,cancers,80,female,total,5
2020,cancers,85,female,total,0
