year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,1
2020,cancers,20,female,total,23
2020,cancers,25,female,total,75
2020,cancers,30,female,total,132
2020,cancers,35,female,total,166
2020,cancers,40,female,total,166
2020,cancers,45,female,total,162
2020,cancers,50,female,total,186
2020,cancers,55,female,total,201
2020,cancers,60,female,total,197
2020,cancers,65,female,total,141
2020,cancers,70,female,total,72
2020,cancers,75,female,total,39
2020,cancers,80,female,total,16
2020,cancers,85,female,total,4
