year,name,age,sex,genotype,value
2020,total_cancer_deaths,0,female,total,0
2020,total_cancer_deaths,15,female,total,0
2020,total_cancer_deaths,20,female,total,20
2020,total_cancer_deaths,25,female,total,48
2020,total_cancer_deaths,30,female,total,106
2020,total_cancer_deaths,35,female,total,264
2020,total_cancer_deaths,40,female,total,426
2020,total_cancer_deaths,45,female,total,606
2020,total_cancer_deaths,50,female,total,762
2020,total_cancer_deaths,55,female,total,793
2020,total_cancer_deaths,60,female,total,779
2020,total_cancer_deaths,65,female,total,628
2020,total_cancer_deaths,70,female,total,486
2020,total_cancer_deaths,75,female,total,272
2020,total_cancer_deaths,80,female,total,110
2020,total_cancer_deaths,85,female,total,38
