year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,9
2020,cancers,25,female,total,26
2020,cancers,30,female,total,89
2020,cancers,35,female,total,169
2020,cancers,40,female,total,260
2020,cancers,45,female,total,349
2020,cancers,50,female,total,431
2020,cancers,55,female,total,423
2020,cancers,60,female,total,351
2020,cancers,65,female,total,245
2020,cancers,70,female,total,198
2020,cancers,75,female,total,135
2020,cancers,80,female,total,76
2020,cancers,85,female,total,36
