year,name,age,sex,genotype,value
2020,total_cancer_deaths,0,female,total,0
2020,total_cancer_deaths,15,female,total,2
2020,total_cancer_deaths,20,female,total,3
2020,total_cancer_deaths,25,female,total,18
2020,total_cancer_deaths,30,female,total,99
2020,total_cancer_deaths,35,female,total,218
2020,total_cancer_deaths,40,female,total,346
2020,total_cancer_deaths,45,female,total,435
2020,total_cancer_deaths,50,female,total,485
2020,total_cancer_deaths,55,female,total,490
2020,total_cancer_deaths,60,female,total,444
2020,total_cancer_deaths,65,female,total,346
2020,total_cancer_deaths,70,female,total,207
2020,total_cancer_deaths,75,female,total,88
2020,total_cancer_deaths,80,female,total,29
2020,total_cancer_deaths,85,female,total,0
