year,age,males,females
2020,0,17357211,16911827
2020,5,15238076,14841015
2020,10,13371937,12906280
2020,15,11317100,10903978
2020,20,9250465,8951347
2020,25,7710655,7511255
2020,30,6506592,6384612
2020,35,5742917,5652634
2020,40,4839688,4760982
2020,45,3795374,3750748
2020,50,2955707,2961267
2020,55,2354435,2405163
2020,60,1803566,1887469
2020,65,1301155,1395706
2020,70,870298,931323
2020,75,518240,563635
2020,80,227748,259268
2020,85,68794,85509
2020,90,12129,17989
2020,95,1042,2089
2020,100,41,129
