,location,par1,par2,dist
0,Angola,17.98948200901339,3.8400394520381096,lognormal
1,Benin,19.504791557203326,3.6653506606389805,lognormal
2,Burkina Faso,21.882045224122432,3.4572553499386847,lognormal
3,Burundi,23.366866195500588,5.10920026716789,lognormal
4,Cameroon,20.476221330333114,4.049680329705501,lognormal
5,Chad,21.760088387792145,3.618318526739111,lognormal
6,Congo Democratic Republic,18.953407084969633,3.8784830401230397,lognormal
7,Ethiopia,22.370090012273074,4.120114721955464,lognormal
8,Ghana,21.094274110587452,4.166863763845796,lognormal
9,Guinea,21.828126268575275,4.626119358965676,lognormal
10,Kenya,18.427093119800226,4.224364528781197,lognormal
11,Madagascar,19.0326321832437,3.084288903476634,lognormal
12,Malawi,19.430183846475042,3.862762539950846,lognormal
13,Mali,21.98612897536116,4.527421588334607,lognormal
14,Mozambique,18.733329986043685,3.6795596815777323,lognormal
15,Niger,24.034413140912854,4.482165934716109,lognormal
16,Nigeria,22.85384747469474,4.933429420649264,lognormal
17,Rwanda,22.92786094610866,4.841994448297757,lognormal
18,Senegal,25.474848591477855,6.236117548170646,lognormal
19,Sierra Leone,19.4087461790464,3.245919471558193,lognormal
20,South Africa,18.99512455893138,3.581316844163009,lognormal
21,Tanzania,19.48692361440483,3.6350538259519025,lognormal
22,Togo,20.266741682553807,3.8630451827793184,lognormal
23,Uganda,19.74908722139908,3.832061364187405,lognormal
24,Zambia,19.561928104970324,3.8799818420148107,lognormal
25,Zimbabwe,21.362571376275252,4.227573463239376,lognormal
