,location,par1,par2,dist
0,Angola,16.631853233227208,2.106807986619471,lognormal
1,Benin,19.078577017732094,3.296534312049308,lognormal
2,Burkina Faso,,,lognormal
3,Burundi,,,lognormal
4,Cameroon,19.465022867081586,3.245297380451358,lognormal
5,Chad,20.069538717369106,2.6253265400017263,lognormal
6,Congo Democratic Republic,17.919697960464653,2.8321454122650294,lognormal
7,Ethiopia,,,lognormal
8,Ghana,20.084063721390297,3.414239537058096,lognormal
9,Guinea,20.182014279715315,3.409743824988874,lognormal
10,Kenya,17.705068600282676,3.3299064547037016,lognormal
11,Madagascar,17.82441956673365,2.1171419022443527,lognormal
12,Malawi,18.661550897370137,3.157692331110352,lognormal
13,Mali,,,lognormal
14,Mozambique,17.691420976753562,2.623842932154142,lognormal
15,Niger,,,lognormal
16,Nigeria,,,lognormal
17,Rwanda,,,lognormal
18,Senegal,,,lognormal
19,Sierra Leone,18.6896536067683,2.6830029097813672,lognormal
20,South Africa,17.76502721271768,2.438473216885857,lognormal
21,Tanzania,18.39559348476703,2.7041700923084426,lognormal
22,Togo,19.687920637220614,3.4045193073473548,lognormal
23,Uganda,18.616848509079883,2.8665946291840183,lognormal
24,Zambia,18.6459911760071,3.059130649059651,lognormal
25,Zimbabwe,19.8423807258776,3.1301727647369146,lognormal
