,location,par1,par2,dist
0,Angola,18.55844142662714,4.448868057180707,lognormal
1,Benin,18.04031531937073,3.0068825465878617,lognormal
2,Burkina Faso,19.236449480363806,3.4465148339760394,lognormal
3,Burundi,21.178585357381365,3.845820986493167,lognormal
4,Cameroon,18.382634657002463,3.7444037491736415,lognormal
5,Chad,18.637503147017647,5.73833999816073,lognormal
6,Congo Democratic Republic,18.176769686353214,4.270870621551304,lognormal
7,Ethiopia,18.56259506393075,4.821165533965867,lognormal
8,Ghana,19.72676358028558,4.061136341797455,lognormal
9,Guinea,18.214463333375406,4.143589737482453,lognormal
10,Kenya,19.343223841190497,4.35584128421566,lognormal
11,Madagascar,18.155557391337847,3.4633198374534704,lognormal
12,Malawi,18.234873842927716,3.6914852177598907,lognormal
13,Mali,18.16462045532154,3.6735700102789846,lognormal
14,Mozambique,17.928302834540965,3.7882782354026925,lognormal
15,Niger,18.005014414721416,4.822182312661409,lognormal
16,Nigeria,18.75675752509399,4.315439857681078,lognormal
17,Rwanda,21.688761700326644,3.8003135716174055,lognormal
18,Senegal,21.47608608495115,5.347152743333136,lognormal
19,Sierra Leone,17.234945354992565,3.3754934824835208,lognormal
20,South Africa,19.657114834224142,3.4276603048720533,lognormal
21,Tanzania,18.543675910355265,3.3376423965221833,lognormal
22,Togo,19.61595497821702,4.035514733252764,lognormal
23,Uganda,18.2719251219673,3.8533002149459405,lognormal
24,Zambia,18.454532048803266,3.682060005750135,lognormal
25,Zimbabwe,19.823906085107254,3.3448817284236356,lognormal
