,location,par1,par2,dist
0,Angola,16.73987862249481,2.177719285815421,lognormal
1,Benin,17.466029304401847,2.4255933957958,lognormal
2,Burkina Faso,17.841716818965278,2.2622639478972144,lognormal
3,Burundi,19.8116469434403,2.9193273825511805,lognormal
4,Cameroon,17.16236273422492,2.3776355376509564,lognormal
5,Chad,16.347818695170385,2.2134536092554944,lognormal
6,Congo Democratic Republic,17.013713232806225,2.722400189166891,lognormal
7,Ethiopia,16.771792032805386,2.419149200119716,lognormal
8,Ghana,18.650364609172822,3.087110790542971,lognormal
9,Guinea,16.515835633084713,1.966437894857806,lognormal
10,Kenya,18.283023006858972,3.2549033932208116,lognormal
11,Madagascar,17.276089702160462,2.4856762134578547,lognormal
12,Malawi,16.94175754928015,2.20549526176653,lognormal
13,Mali,16.602597271302887,1.8543471003865675,lognormal
14,Mozambique,16.993535086928812,2.5868492413358113,lognormal
15,Niger,15.985639094632067,1.6613704291054596,lognormal
16,Nigeria,17.413867713187244,2.7546376031680846,lognormal
17,Rwanda,20.961280452836526,3.3409288759244187,lognormal
18,Senegal,20.111323400119286,4.131135495130876,lognormal
19,Sierra Leone,16.087238093512617,1.6822121223258502,lognormal
20,South Africa,18.247243471948444,2.3322357958337614,lognormal
21,Tanzania,17.33401630838652,2.1680691217833727,lognormal
22,Togo,18.43159845947176,2.949764744803772,lognormal
23,Uganda,17.070537516937275,2.431205495785502,lognormal
24,Zambia,16.694696425114053,1.7857668639582425,lognormal
25,Zimbabwe,18.882838432552692,2.6470016004268024,lognormal
