year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,1
2020,cancers,20,female,total,5
2020,cancers,25,female,total,24
2020,cancers,30,female,total,56
2020,cancers,35,female,total,82
2020,cancers,40,female,total,115
2020,cancers,45,female,total,145
2020,cancers,50,female,total,157
2020,cancers,55,female,total,146
2020,cancers,60,female,total,126
2020,cancers,65,female,total,96
2020,cancers,70,female,total,60
2020,cancers,75,female,total,29
2020,cancers,80,female,total,11
2020,cancers,85,female,total,2
