year,age,males,females
2020,0,3535476,3425635
2020,5,3067406,2988566
2020,10,2671070,2611395
2020,15,2284248,2243582
2020,20,2036245,2014893
2020,25,1795608,1787654
2020,30,1606898,1560027
2020,35,1384601,1294871
2020,40,1021984,982470
2020,45,719645,768959
2020,50,538052,661111
2020,55,446195,591459
2020,60,402215,516798
2020,65,326497,378872
2020,70,208029,217572
2020,75,103217,106408
2020,80,42211,49972
2020,85,15192,22025
2020,90,4080,7483
2020,95,509,1203
2020,100,50,91
