year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,2
2020,cancers,25,female,total,14
2020,cancers,30,female,total,34
2020,cancers,35,female,total,70
2020,cancers,40,female,total,111
2020,cancers,45,female,total,152
2020,cancers,50,female,total,193
2020,cancers,55,female,total,186
2020,cancers,60,female,total,156
2020,cancers,65,female,total,129
2020,cancers,70,female,total,93
2020,cancers,75,female,total,54
2020,cancers,80,female,total,24
2020,cancers,85,female,total,9
