year,age,males,females
2020,0,5216679,5095690
2020,5,4480909,4396789
2020,10,3969846,3914409
2020,15,3379035,3344099
2020,20,2699256,2743581
2020,25,2083040,2335607
2020,30,1767499,2129635
2020,35,1626206,1813950
2020,40,1412779,1390379
2020,45,1109992,1025622
2020,50,814844,786151
2020,55,586797,650076
2020,60,452723,549001
2020,65,357682,421265
2020,70,268188,300633
2020,75,153641,179040
2020,80,66938,92695
2020,85,22914,42213
2020,90,5500,14391
2020,95,895,3345
2020,100,87,489
