year,n_alive
1950,5671964
1951,5829310
1952,5990329
1953,6157336
1954,6330431
1955,6509333
1956,6694238
1957,6886053
1958,7085534
1959,7293024
1960,7509539
1961,7725953
1962,7950927
1963,8186729
1964,8435298
1965,8694212
1966,8963899
1967,9245587
1968,9541277
1969,9851463
1970,10161590
1971,10472835
1972,10759842
1973,11011283
1974,11280914
1975,11576438
1976,11885480
1977,12204974
1978,12533531
1979,12870468
1980,13152554
1981,13415498
1982,13711617
1983,14048487
1984,14409376
1985,14826512
1986,15251317
1987,15722296
1988,16226136
1989,16752509
1990,17304577
1991,17868683
1992,18475188
1993,19128745
1994,19797171
1995,20452872
1996,20908790
1997,21590355
1998,22163515
1999,22911800
2000,23646693
2001,24394702
2002,25131948
2003,25958233
2004,26751240
2005,27540927
2006,28352248
2007,29194205
2008,30065402
2009,30954322
2010,31870718
2011,32812737
2012,33778738
2013,34767852
2014,35779288
2015,36893791
2016,38060921
2017,39435677
2018,40818493
2019,42212297
2020,43685863
2021,45123359
2022,46584197
2023,47914973
2024,49249695
2025,50598809
2026,51970533
2027,53365026
2028,54783527
2029,56217561
2030,57657555
2031,59102968
2032,60545314
2033,62001681
2034,63455507
2035,64913614
2036,66382254
2037,67850794
2038,69329453
2039,70804851
2040,72277374
2041,73751963
2042,75220947
2043,76687420
2044,78152056
2045,79621342
2046,81088379
2047,82554648
2048,84013698
2049,85464030
2050,86906877
2051,88337285
2052,89752630
2053,91164791
2054,92552908
2055,93927564
2056,95286473
2057,96628344
2058,97965301
2059,99280020
2060,100578949
2061,101847787
2062,103100350
2063,104329144
2064,105531690
2065,106713499
2066,107863127
2067,108991628
2068,110092181
2069,111172006
2070,112231005
2071,113259049
2072,114258427
2073,115224516
2074,116165601
2075,117074954
2076,117968761
2077,118838555
2078,119678506
2079,120496560
2080,121300800
2081,122075463
2082,122828361
2083,123556238
2084,124254821
2085,124936266
2086,125591387
2087,126215238
2088,126812398
2089,127385789
2090,127927374
2091,128446936
2092,128943201
2093,129415734
2094,129850889
2095,130270649
2096,130668834
2097,131034174
2098,131372073
2099,131690420
2100,131988853
2101,132265234
