year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,3
2020,cancers,20,female,total,16
2020,cancers,25,female,total,109
2020,cancers,30,female,total,217
2020,cancers,35,female,total,320
2020,cancers,40,female,total,386
2020,cancers,45,female,total,343
2020,cancers,50,female,total,309
2020,cancers,55,female,total,309
2020,cancers,60,female,total,296
2020,cancers,65,female,total,270
2020,cancers,70,female,total,188
2020,cancers,75,female,total,153
2020,cancers,80,female,total,85
2020,cancers,85,female,total,39
